Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-01,702.13,710.93,700.02,707.43,386029.63,BNB,272686873.5598,724799,0.0,66.0,,,,,,1d
2025-01-02,707.42,715.99,698.04,706.11,733190.03,BNB,518266225.2649,1052305,-5.696666666666667e-05,70.0,,911368528.6131656,402440.0,50856759.022372745,,1d
2025-01-03,706.11,716.32,696.46,715.22,670878.57,BNB,474509667.5181,950376,0.0,74.0,,,,,,1d
2025-01-04,715.23,721.97,707.61,713.38,503706.97,BNB,360334325.1646,771159,0.0,73.0,,,,,,1d
2025-01-05,713.38,714.0,702.48,709.28,359292.44,BNB,254537416.6637,620232,0.0,72.0,,851338266.2494245,433954.0,49028390.2707316,81.0,1d
2025-01-06,709.28,746.0,706.06,729.81,1042671.32,BNB,757053660.9193,1289293,0.0,76.0,,,,,,1d
2025-01-07,729.82,732.98,689.5,697.16,1153759.51,BNB,821817738.5727,1593843,5.5599999999999984e-06,78.0,,,,,,1d
2025-01-08,697.16,706.82,673.76,695.49,1067127.2,BNB,739225530.3476,1649816,-0.00047199,70.0,,682162072.3152436,399976.0,38731743.14653424,,1d
2025-01-09,695.49,701.32,673.7,684.89,935599.52,BNB,645993838.8229,1374604,-9.630000000000001e-05,69.0,,,,,,1d
2025-01-10,684.89,700.84,682.6,693.04,666606.83,BNB,461506961.5319,1061779,-0.00024785,50.0,,,,,,1d
2025-01-11,693.03,701.28,690.2,696.42,268116.54,BNB,186470435.2612,551516,0.0,69.0,,753106927.8360293,361190.0,41261535.49680089,,1d
2025-01-12,696.42,698.56,689.46,692.96,269598.8,BNB,186999835.2723,510884,-1.88e-05,62.0,,,,,83.0,1d
2025-01-13,692.96,700.0,656.84,688.41,1120301.56,BNB,756225067.7726,1620326,-0.00031725000000000004,61.0,,,,,,1d
2025-01-14,688.4,700.19,686.0,698.84,484950.57,BNB,336602044.5049,763618,0.0,63.0,,845551490.8919123,352684.0,48024069.39001907,,1d
2025-01-15,698.88,714.73,688.43,714.38,766138.28,BNB,537250594.0501,1020915,0.0,70.0,,,,,,1d
