Date,google_interest
2023-01-01,74
2023-01-08,75
2023-01-15,71
2023-01-22,71
2023-01-29,71
2023-02-05,70
2023-02-12,73
2023-02-19,76
2023-02-26,69
2023-03-05,67
2023-03-12,71
2023-03-19,73
2023-03-26,70
2023-04-02,69
2023-04-09,70
2023-04-16,69
2023-04-23,74
2023-04-30,67
2023-05-07,72
2023-05-14,65
2023-05-21,69
2023-05-28,69
2023-06-04,74
2023-06-11,73
2023-06-18,73
2023-06-25,86
2023-07-02,82
2023-07-09,89
2023-07-16,87
2023-07-23,81
2023-07-30,81
2023-08-06,75
2023-08-13,76
2023-08-20,71
2023-08-27,68
2023-09-03,66
2023-09-10,65
2023-09-17,64
2023-09-24,67
2023-10-01,63
2023-10-08,63
2023-10-15,60
2023-10-22,59
2023-10-29,57
2023-11-05,60
2023-11-12,58
2023-11-19,62
2023-11-26,56
2023-12-03,57
2023-12-10,56
2023-12-17,61
2023-12-24,73
2023-12-31,77
2024-01-07,76
2024-01-14,78
2024-01-21,77
2024-01-28,84
2024-02-04,84
2024-02-11,82
2024-02-18,87
2024-02-25,88
2024-03-03,92
2024-03-10,97
2024-03-17,91
2024-03-24,89
2024-03-31,90
2024-04-07,86
2024-04-14,81
2024-04-21,90
2024-04-28,90
2024-05-05,77
2024-05-12,80
2024-05-19,84
2024-05-26,90
2024-06-02,96
2024-06-09,82
2024-06-16,87
2024-06-23,80
2024-06-30,82
2024-07-07,86
2024-07-14,84
2024-07-21,82
2024-07-28,80
2024-08-04,79
2024-08-11,81
2024-08-18,78
2024-08-25,75
2024-09-01,71
2024-09-08,69
2024-09-15,69
2024-09-22,69
2024-09-29,69
2024-10-06,66
2024-10-13,66
2024-10-20,66
2024-10-27,65
2024-11-03,65
2024-11-10,73
2024-11-17,68
2024-11-24,66
2024-12-01,74
2024-12-08,71
2024-12-15,69
2024-12-22,73
2024-12-29,84
2025-01-05,81
2025-01-12,83
2025-01-19,81
2025-01-26,81
2025-02-02,78
2025-02-09,78
2025-02-16,80
2025-02-23,76
2025-03-02,75
2025-03-09,75
2025-03-16,77
2025-03-23,78
2025-03-30,78
2025-04-06,76
2025-04-13,77
2025-04-20,72
2025-04-27,74
2025-05-04,73
2025-05-11,78
2025-05-18,81
2025-05-25,79
2025-06-01,90
2025-06-08,86
2025-06-15,88
2025-06-22,85
2025-06-29,82
2025-07-06,86
2025-07-13,87
2025-07-20,91
2025-07-27,91
2025-08-03,94
2025-08-10,100
2025-08-17,97
2025-08-24,88
2025-08-31,77
2025-09-07,77
2025-09-14,79
2025-09-21,85
2025-09-28,83
2025-10-05,93
2025-10-12,81
2025-10-19,70
2025-10-26,70
