Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-06-01,104544.6,105823.6,103704.1,105583.3,97420.24,BTC,10189734693.2765,1959949,1.9566666666666667e-05,56.0,,839539043.1681639,256072.0,43808675.73054219,31.0,1d
2025-06-02,105583.3,105900.0,103600.6,105814.3,158252.918,BTC,16568774033.5745,2994803,3.139333333333333e-05,64.0,,,,,,1d
2025-06-03,105814.4,106775.0,104822.4,105330.1,139216.007,BTC,14728115908.7851,2606908,5.1756666666666665e-05,64.0,,,,,,1d
2025-06-04,105330.1,105967.2,104111.7,104641.8,118534.125,BTC,12459563151.8403,2227909,1.1873333333333334e-05,62.0,,795352777.73826,337037.0,41910547.6862086,,1d
2025-06-05,104641.8,105878.3,100305.1,101458.6,246238.674,BTC,25426533952.9847,4120064,2.7003333333333333e-05,57.0,,,,,,1d
2025-06-06,101458.7,105283.0,101003.4,104240.0,174300.906,BTC,18075103218.6038,2910225,-3.172e-05,45.0,,,,,,1d
2025-06-07,104240.1,105878.3,103800.1,105507.5,79833.173,BTC,8393331490.526,1510843,-1.918e-05,52.0,,902662279.4965969,290718.0,47398989.35463319,,1d
2025-06-08,105507.5,106482.6,104927.4,105676.5,75105.104,BTC,7939013396.4349,1397725,2.2730000000000004e-05,62.0,,,,,33.0,1d
2025-06-09,105676.5,110653.6,105253.2,110227.9,192956.409,BTC,20800388814.9273,3206202,1.639e-05,62.0,,,,,,1d
2025-06-10,110228.0,110367.2,108282.0,110235.4,152216.974,BTC,16647654303.5421,2781353,8.179666666666667e-05,71.0,,1066782693.9505239,428797.0,58400130.58904057,,1d
2025-06-11,110235.4,110350.0,108001.2,108600.0,134422.321,BTC,14691641846.5674,2592990,7.402666666666667e-05,72.0,,,,,,1d
2025-06-12,108600.1,108782.1,105602.0,105609.5,185790.19,BTC,19916220925.2797,3320828,3.4336666666666666e-05,71.0,,,,,,1d
2025-06-13,105609.4,106141.1,102614.0,106027.3,245935.413,BTC,25704797377.6442,4731930,5.953333333333333e-06,61.0,,915286926.7622839,351499.0,48859546.300097495,,1d
2025-06-14,106027.3,106173.6,104225.4,105359.9,79911.57,BTC,8391666383.1509,1612153,2.317e-05,63.0,,,,,,1d
2025-06-15,105359.8,106099.4,104399.9,105534.6,78819.399,BTC,8299752647.8676,1615722,1.722333333333333e-05,60.0,,,,,29.0,1d
2025-06-16,105534.7,108900.0,104920.0,106750.1,166813.219,BTC,17887208567.0373,3134819,2.9330000000000002e-05,61.0,,917456209.4405266,361092.0,49380099.58294062,,1d
2025-06-17,106750.1,107727.4,103300.0,104508.0,226051.863,BTC,23808393905.4278,3970409,3.278e-05,68.0,,,,,,1d
2025-06-18,104508.0,105500.0,103426.1,104832.8,172706.399,BTC,18052952724.8775,3219465,2.8783333333333333e-05,52.0,,,,,,1d
2025-06-19,104832.8,105185.7,103870.3,104607.1,87710.605,BTC,9170655647.4608,1606233,1.2856666666666668e-05,57.0,,798061223.2804582,308332.0,42106155.08953161,,1d
2025-06-20,104607.1,106486.2,102255.3,103246.1,199102.135,BTC,20795551830.7014,3108911,4.609000000000001e-05,54.0,,,,,,1d
2025-06-21,103246.1,103940.6,100789.9,102079.8,120771.35,BTC,12390156115.4865,2033604,4.45e-05,49.0,,,,,,1d
2025-06-22,102079.8,103362.6,98115.4,100904.7,293562.636,BTC,29530840749.9246,4876091,5.676e-05,42.0,,672382290.480386,265421.0,34173347.374878295,32.0,1d
2025-06-23,100904.7,106050.0,99547.6,105290.9,297222.041,BTC,30424122122.1681,4717211,3.3966666666666675e-06,47.0,,,,,,1d
2025-06-24,105291.0,106239.0,104570.8,106034.9,144449.887,BTC,15211187542.8234,2565480,9.7e-06,65.0,,,,,,1d
2025-06-25,106034.9,108095.7,105755.6,107280.0,159277.823,BTC,17055576325.5144,2665403,1.7833333333333338e-06,66.0,,898604369.5205159,387919.0,48334581.60969528,,1d
2025-06-26,107280.1,108249.9,106500.0,106913.7,114433.386,BTC,12286992617.7236,2181091,1.542666666666667e-05,74.0,,,,,,1d
2025-06-27,106913.8,107686.0,106313.1,107010.7,118637.45,BTC,12685404247.2056,2005062,2.1110000000000003e-05,65.0,,,,,,1d
2025-06-28,107010.6,107538.0,106767.0,107241.0,35670.419,BTC,3824571878.0348,747193,3.108666666666667e-05,65.0,,911172262.800523,388943.0,49716381.355829924,,1d
2025-06-29,107240.9,108499.0,107112.6,108309.8,79448.325,BTC,8563401844.1215,1398904,5.5366666666666666e-05,68.0,,,,,29.0,1d
2025-06-30,108309.8,108783.9,106686.4,107087.4,114681.386,BTC,12341253790.3646,1865096,2.988666666666667e-05,66.0,,,,,,1d
2025-07-01,107087.3,107499.9,105182.6,105637.9,120434.401,BTC,12798966761.0981,2043731,2.1653333333333335e-05,64.0,,779081248.5096745,325613.0,45807660.2879142,,1d
2025-07-02,105637.9,109690.4,105010.0,108800.0,177567.261,BTC,19179636772.5586,2621458,3.113333333333333e-05,63.0,,,,,,1d
2025-07-03,108800.0,110484.0,108480.6,109545.2,141487.997,BTC,15492329480.4931,2342574,4.487e-05,73.0,,,,,,1d
2025-07-04,109545.1,109732.3,107200.0,107935.4,132305.847,BTC,14316422935.2606,1957162,4.0119999999999995e-05,73.0,,924432227.709241,366873.0,54347747.508406095,,1d
2025-07-05,107935.3,108368.1,107688.3,108153.4,36660.948,BTC,3960654262.1664,734951,2.7086666666666663e-05,67.0,,,,,,1d
2025-07-06,108153.4,109684.7,107743.4,109145.8,72388.603,BTC,7864421489.3231,1278877,1.5446666666666666e-05,66.0,,,,,39.0,1d
2025-07-07,109145.8,109667.3,107456.0,108203.9,106397.578,BTC,11536683412.6303,1788546,3.356333333333334e-05,73.0,,877919914.3653797,360355.0,52453309.478894114,,1d
2025-07-08,108203.9,109180.0,107400.0,108873.1,95156.027,BTC,10320330229.2738,1658291,3.079e-05,65.0,,,,,,1d
2025-07-09,108873.2,112036.8,108273.5,111199.9,167834.731,BTC,18458201635.8988,2548622,3.5806666666666664e-05,66.0,,,,,,1d
2025-07-10,111199.8,117500.0,110432.2,115979.2,225570.213,BTC,25573716456.3733,3420723,6.810333333333333e-05,71.0,,994200697.7250328,446575.0,60482809.52680318,,1d
2025-07-11,115979.2,118882.8,115186.7,117500.0,199819.357,BTC,23468288934.0047,3481508,0.0001,71.0,,,,,,1d
2025-07-12,117500.0,118176.9,116862.4,117389.3,63722.472,BTC,7488784312.8489,1330505,0.0001,79.0,,,,,,1d
2025-07-13,117389.4,119655.0,117164.3,119038.3,90052.381,BTC,10670541370.9112,1810973,0.0001,74.0,,859946006.057642,399761.0,53264048.43253949,49.0,1d
2025-07-14,119038.3,123300.0,118862.6,119816.5,221556.12,BTC,26804448428.8877,4034670,9.350333333333332e-05,74.0,,,,,,1d
2025-07-15,119816.5,119919.4,115678.1,117738.5,269977.446,BTC,31656599892.9497,4738657,0.0001,73.0,,,,,,1d
2025-07-16,117738.6,120100.0,117017.1,118590.7,159165.948,BTC,18903224038.5254,3160880,0.0001,70.0,,822284137.1792051,399196.0,49061620.40880899,,1d
2025-07-17,118590.7,120951.5,117412.8,119176.6,164274.401,BTC,19529125659.9034,3301670,0.0001,74.0,,,,,,1d
2025-07-18,119176.5,120846.1,116788.9,117896.4,162246.906,BTC,19250655213.5986,3368152,0.0001,73.0,,,,,,1d
2025-07-19,117896.5,118456.0,117245.9,117814.4,52531.193,BTC,6197160791.5471,1248912,0.0001,74.0,,891330896.7896729,426040.0,55140355.74943248,,1d
2025-07-20,117814.3,118856.6,116370.1,117216.0,82380.582,BTC,9710161747.2649,1751382,0.0001,72.0,,,,,40.0,1d
2025-07-21,117216.1,119720.6,116454.1,117330.2,141885.848,BTC,16757943321.4359,2862908,0.0001,71.0,,,,,,1d
2025-07-22,117330.2,120300.1,115865.0,119993.7,186832.45,BTC,22133221784.4276,3400863,0.0001,72.0,,941546721.960922,421750.0,56703249.71929671,,1d
2025-07-23,119993.7,120146.5,117250.0,118713.5,136986.897,BTC,16199890830.6418,2483435,0.0001,74.0,,,,,,1d
