Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2025-06-01,104544.6,105823.6,103704.1,105583.3,97420.24,BTC,10189734693.2765,1959949,1.9566666666666667e-05,56.0,,839539043.1681639,256072.0,43808675.73054219,31.0,1d,,,0.19721123934614207,46.0
2025-06-02,105583.3,105900.0,103600.6,105814.3,158252.918,BTC,16568774033.5745,2994803,3.139333333333333e-05,64.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.285714285714285,1d,0.21878459945843254,0.0021854561446506032,0.20694829664724898,50.91428571428571
2025-06-03,105814.4,106775.0,104822.4,105330.1,139216.007,BTC,14728115908.7851,2606908,5.1756666666666665e-05,64.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.571428571428573,1d,-0.4575941059006161,-0.004586442726213749,0.18653841290181203,51.028571428571425
2025-06-04,105330.1,105967.2,104111.7,104641.8,118534.125,BTC,12459563151.8403,2227909,1.1873333333333334e-05,62.0,,795352777.73826,337037.0,41910547.6862086,31.857142857142858,1d,-0.6534694261184582,-0.0065561388493316,0.15752535428557,49.942857142857136
2025-06-05,104641.8,105878.3,100305.1,101458.6,246238.674,BTC,25426533952.9847,4120064,2.7003333333333333e-05,57.0,,943761535.5163916,426207.7333333333,53390744.95249626,32.142857142857146,1d,-3.0419966017404154,-0.03089225589375499,0.02334786164105281,47.05714285714286
2025-06-06,101458.7,105283.0,101003.4,104240.0,174300.906,BTC,18075103218.6038,2910225,-3.172e-05,45.0,,943761535.5163916,426207.7333333333,53390744.95249626,32.42857142857143,1d,2.741413739200027,0.027045099314543544,0.14058877582849302,39.971428571428575
2025-06-07,104240.1,105878.3,103800.1,105507.5,79833.173,BTC,8393331490.526,1510843,-1.918e-05,52.0,,902662279.4965968,290718.0,47398989.35463319,32.714285714285715,1d,1.2159439754412915,0.012086107620147227,0.1940161356949562,44.285714285714285
2025-06-08,105507.5,106482.6,104927.4,105676.5,75105.104,BTC,7939013396.4349,1397725,2.2730000000000004e-05,62.0,,943761535.5163916,426207.7333333333,53390744.95249626,33.0,1d,0.1601781863848517,0.0016005003795352222,0.20113978367715132,50.4
2025-06-09,105676.5,110653.6,105253.2,110227.9,192956.409,BTC,20800388814.9273,3206202,1.639e-05,62.0,,943761535.5163916,426207.7333333333,53390744.95249626,32.42857142857143,1d,4.306917810487665,0.04216749990245295,0.39298931874320286,50.17142857142857
2025-06-10,110228.0,110367.2,108282.0,110235.4,152216.974,BTC,16647654303.5421,2781353,8.179666666666667e-05,71.0,,1066782693.950524,428797.0,58400130.58904057,31.857142857142858,1d,0.006804084991185455,6.80385352382205e-05,0.39330545696726477,55.34285714285714
2025-06-11,110235.4,110350.0,108001.2,108600.0,134422.321,BTC,14691641846.5674,2592990,7.402666666666667e-05,72.0,,943761535.5163916,426207.7333333333,53390744.95249626,31.285714285714285,1d,-1.48355247044053,-0.014946671754128275,0.3243704634164848,55.71428571428571
2025-06-12,108600.1,108782.1,105602.0,105609.5,185790.19,BTC,19916220925.2797,3320828,3.4336666666666666e-05,71.0,,943761535.5163916,426207.7333333333,53390744.95249626,30.714285714285715,1d,-2.7536832412523027,-0.0279230781528108,0.19831561554219823,54.885714285714286
2025-06-13,105609.4,106141.1,102614.0,106027.3,245935.413,BTC,25704797377.6442,4731930,5.953333333333333e-06,61.0,,915286926.762284,351499.0,48859546.300097495,30.142857142857142,1d,0.3956083496276408,0.003948278775275201,0.2159266222106073,48.65714285714286
2025-06-14,106027.3,106173.6,104225.4,105359.9,79911.57,BTC,8391666383.1509,1612153,2.317e-05,63.0,,943761535.5163916,426207.7333333333,53390744.95249626,29.571428571428573,1d,-0.6294605257325281,-0.006314499814527646,0.18779453544541755,49.628571428571426
2025-06-15,105359.8,106099.4,104399.9,105534.6,78819.399,BTC,8299752647.8676,1615722,1.722333333333333e-05,60.0,,943761535.5163916,426207.7333333333,53390744.95249626,29.0,1d,0.16581260992085678,0.0016567529258482965,0.19515844847790018,47.6
