Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-01,3336.58,3374.14,3312.62,3359.36,1271279.84,ETH,4251757543.559,2495858,0.0001,66.0,,,,,,1d
2025-01-02,3359.35,3511.14,3353.5,3454.83,2410080.281,ETH,8305215215.90076,4191874,0.0001,70.0,,911368528.6131656,402440.0,50856759.022372745,,1d
2025-01-03,3454.83,3630.0,3421.56,3607.89,2490827.774,ETH,8794485642.80913,3824612,0.0001,74.0,,,,,,1d
2025-01-04,3607.9,3670.0,3570.66,3655.99,1729182.603,ETH,6258393811.64672,2814665,0.0001,73.0,,,,,,1d
2025-01-05,3655.98,3674.71,3592.14,3634.96,1270073.705,ETH,4607192518.94134,2339287,0.0001,72.0,,851338266.2494245,433954.0,49028390.2707316,15.0,1d
2025-01-06,3634.96,3744.28,3609.0,3685.72,2686061.958,ETH,9863288922.11345,4321666,0.0001,76.0,,,,,,1d
2025-01-07,3685.72,3700.31,3353.59,3379.38,4062657.507,ETH,14252747060.47262,5634409,0.0001,78.0,,,,,,1d
2025-01-08,3379.37,3413.55,3206.54,3325.38,3959258.697,ETH,13155227894.48453,6453587,9.886e-05,70.0,,682162072.3152436,399976.0,38731743.14653424,,1d
2025-01-09,3325.38,3355.85,3156.0,3218.24,3639862.647,ETH,11896491217.83481,5760409,8.869666666666667e-05,69.0,,,,,,1d
2025-01-10,3218.24,3323.0,3193.43,3265.52,2960794.58,ETH,9661186776.60014,5058295,7.911666666666666e-05,50.0,,,,,,1d
2025-01-11,3265.51,3319.3,3217.36,3281.84,1182807.831,ETH,3857529545.80479,2383604,7.408000000000001e-05,69.0,,753106927.8360293,361190.0,41261535.49680089,,1d
2025-01-12,3281.85,3299.0,3222.4,3265.7,1348856.48,ETH,4400527896.12045,2318386,9.378000000000001e-05,62.0,,,,,16.0,1d
2025-01-13,3265.7,3338.32,2900.0,3136.14,6106720.33,ETH,18939529755.40154,8221072,7.581666666666666e-05,61.0,,,,,,1d
2025-01-14,3136.13,3255.84,3123.47,3223.99,2714405.364,ETH,8679677888.80398,4303464,6.842333333333334e-05,63.0,,845551490.8919123,352684.0,48024069.39001907,,1d
2025-01-15,3223.99,3472.93,3185.09,3449.8,3291912.768,ETH,10893084885.66243,5031400,5.2900000000000005e-05,70.0,,,,,,1d
2025-01-16,3449.81,3458.99,3263.06,3306.94,3258757.747,ETH,10868089745.35856,4977573,7.862e-05,75.0,,,,,,1d
2025-01-17,3306.93,3524.85,3306.41,3472.38,3028696.472,ETH,10352213034.17833,4763847,0.0001,75.0,,823589114.5051093,425661.0,49088495.97809198,,1d
2025-01-18,3472.38,3492.95,3225.65,3306.7,4090676.503,ETH,13548917336.79446,6150871,0.0001,77.0,,,,,,1d
2025-01-19,3306.71,3449.77,3129.63,3214.15,6927128.105,ETH,22763925109.29559,10057528,0.0001,77.0,,,,,19.0,1d
2025-01-20,3214.16,3455.76,3141.25,3283.2,6609534.854,ETH,21889087510.73756,11066288,0.0001,76.0,,834570302.6985108,350291.0,52231151.07326733,,1d
