Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame
2025-01-01,189.22,195.29,187.82,194.22,7977746.0,SOL,1525021537.83,1045867,-3.2456666666666664e-05,66.0,,,,,,1d
2025-01-02,194.22,210.47,193.34,208.17,15488351.0,SOL,3174714368.98,1787780,9.779e-05,70.0,,911368528.6131656,402440.0,50856759.022372745,,1d
2025-01-03,208.17,219.69,205.51,217.91,13641745.0,SOL,2906476870.088,1583328,1.8766666666666661e-06,74.0,,,,,,1d
2025-01-04,217.92,218.08,213.45,216.56,7095808.0,SOL,1532628689.716,880233,1.1233333333333335e-05,73.0,,,,,,1d
2025-01-05,216.57,218.98,211.27,213.3,7443139.0,SOL,1596842064.843,901180,5.4913333333333335e-05,72.0,,851338266.2494245,433954.0,49028390.2707316,78.0,1d
2025-01-06,213.31,223.14,211.41,218.11,11758842.0,SOL,2558352752.519,1387027,1.3909999999999999e-05,76.0,,,,,,1d
2025-01-07,218.1,219.04,201.36,202.07,16172122.0,SOL,3385569221.138,1769388,3.8433333333333335e-06,78.0,,,,,,1d
2025-01-08,202.06,203.2,188.23,197.37,21459230.0,SOL,4209065336.415,2246927,2.557666666666667e-05,70.0,,682162072.3152436,399976.0,38731743.14653424,,1d
2025-01-09,197.37,198.98,181.85,184.88,16441467.0,SOL,3116387254.476,1856201,1.3283333333333335e-05,69.0,,,,,,1d
2025-01-10,184.87,192.93,183.38,187.59,14664976.0,SOL,2763083900.393,1775413,-1.0413333333333332e-05,50.0,,,,,,1d
2025-01-11,187.59,191.82,184.01,187.99,7318839.0,SOL,1368424816.05,955758,-2.3106666666666663e-05,69.0,,753106927.8360293,361190.0,41261535.49680089,,1d
2025-01-12,187.99,190.98,185.04,188.43,6414635.0,SOL,1204371819.559,823140,4.28e-06,62.0,,,,,84.0,1d
2025-01-13,188.43,191.94,167.71,182.78,24909157.0,SOL,4463991913.211,2590729,4.492333333333334e-05,61.0,,,,,,1d
2025-01-14,182.77,190.08,181.77,187.46,11207604.0,SOL,2090970601.114,1257979,-1.5536666666666666e-05,63.0,,845551490.8919123,352684.0,48024069.39001907,,1d
2025-01-15,187.45,205.94,185.76,205.76,16281403.0,SOL,3171412151.401,1674491,-1.5843333333333335e-05,70.0,,,,,,1d
2025-01-16,205.76,217.14,198.42,211.02,22599445.0,SOL,4718273066.96,2372297,0.0001,75.0,,,,,,1d
2025-01-17,211.03,222.09,209.71,219.46,18335847.0,SOL,3984455541.553,1985447,9.406666666666667e-05,75.0,,823589114.5051093,425661.0,49088495.97809198,,1d
2025-01-18,219.46,270.7,217.18,261.9,64476581.0,SOL,15676400460.984,7282154,5.851333333333334e-05,77.0,,,,,,1d
2025-01-19,261.91,295.6,237.69,252.52,73470822.0,SOL,19674237963.823,9806933,8.306333333333333e-05,77.0,,,,,85.0,1d
2025-01-20,252.49,273.0,229.27,241.89,51782047.0,SOL,12943712158.885,7325204,-0.00023316333333333334,76.0,,834570302.6985108,350291.0,52231151.07326733,,1d
2025-01-21,241.88,259.89,230.3,250.26,27837731.0,SOL,6741174177.496,4406237,-7.068666666666666e-05,76.0,,,,,,1d
2025-01-22,250.25,272.05,248.24,257.3,25551650.0,SOL,6627522100.508,3598655,5.516000000000001e-05,84.0,,,,,,1d
2025-01-23,257.31,258.38,242.01,253.01,26797640.0,SOL,6687392006.854,3934854,3.367e-05,75.0,,746720797.1512991,326010.0,45141421.668283015,,1d
2025-01-24,253.01,270.11,247.09,253.22,20558642.0,SOL,5353659711.85,3029511,8.655666666666666e-05,75.0,,,,,,1d
2025-01-25,253.22,260.76,246.09,256.32,14384756.0,SOL,3632281526.798,2031794,-4.656333333333333e-05,75.0,,,,,,1d
