Date,google_interest
2023-01-01,79
2023-01-08,78
2023-01-15,83
2023-01-22,78
2023-01-29,81
2023-02-05,80
2023-02-12,81
2023-02-19,83
2023-02-26,82
2023-03-05,81
2023-03-12,79
2023-03-19,80
2023-03-26,80
2023-04-02,80
2023-04-09,82
2023-04-16,85
2023-04-23,85
2023-04-30,86
2023-05-07,86
2023-05-14,89
2023-05-21,83
2023-05-28,84
2023-06-04,82
2023-06-11,82
2023-06-18,85
2023-06-25,85
2023-07-02,84
2023-07-09,82
2023-07-16,79
2023-07-23,77
2023-07-30,86
2023-08-06,85
2023-08-13,86
2023-08-20,84
2023-08-27,80
2023-09-03,75
2023-09-10,73
2023-09-17,81
2023-09-24,88
2023-10-01,83
2023-10-08,89
2023-10-15,80
2023-10-22,81
2023-10-29,77
2023-11-05,79
2023-11-12,85
2023-11-19,85
2023-11-26,85
2023-12-03,82
2023-12-10,85
2023-12-17,79
2023-12-24,84
2023-12-31,84
2024-01-07,77
2024-01-14,83
2024-01-21,79
2024-01-28,80
2024-02-04,77
2024-02-11,82
2024-02-18,80
2024-02-25,80
2024-03-03,87
2024-03-10,96
2024-03-17,99
2024-03-24,95
2024-03-31,99
2024-04-07,100
2024-04-14,84
2024-04-21,79
2024-04-28,82
2024-05-05,84
2024-05-12,83
2024-05-19,88
2024-05-26,84
2024-06-02,82
2024-06-09,84
2024-06-16,85
2024-06-23,78
2024-06-30,81
2024-07-07,82
2024-07-14,83
2024-07-21,81
2024-07-28,83
2024-08-04,84
2024-08-11,85
2024-08-18,90
2024-08-25,80
2024-09-01,85
2024-09-08,78
2024-09-15,77
2024-09-22,81
2024-09-29,78
2024-10-06,77
2024-10-13,77
2024-10-20,78
2024-10-27,73
2024-11-03,75
2024-11-10,80
2024-11-17,81
2024-11-24,87
2024-12-01,77
2024-12-08,89
2024-12-15,82
2024-12-22,84
2024-12-29,81
2025-01-05,76
2025-01-12,82
2025-01-19,83
2025-01-26,79
2025-02-02,79
2025-02-09,81
2025-02-16,87
2025-02-23,88
2025-03-02,78
2025-03-09,75
2025-03-16,78
2025-03-23,77
2025-03-30,86
2025-04-06,76
2025-04-13,74
2025-04-20,79
2025-04-27,76
2025-05-04,81
2025-05-11,84
2025-05-18,74
2025-05-25,78
2025-06-01,81
2025-06-08,79
2025-06-15,80
2025-06-22,82
2025-06-29,83
2025-07-06,78
2025-07-13,82
2025-07-20,86
2025-07-27,82
