Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fetch_fear_greed,active_addresses,hash_rate,tx_count,miners_revenue,google_interest,time_frame,pct_change,log_return,Close_norm,sentiment_mix
2023-01-01,0.3389,0.34,0.3354,0.3387,102026821.0,XRP,34471638.5714,48661,0.0001,26.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,,,0.00021790561573900463,
2023-01-02,0.3386,0.3555,0.3,0.3482,647520487.0,XRP,217803999.7446,285660,-0.00018783,27.0,,274241331.1734265,229347.0,16447340.744624749,,1d,2.804842043106004,0.027662267510362742,0.0031751961150541614,
2023-01-03,0.3482,0.352,0.3395,0.3436,346410334.0,XRP,119511328.6711,154113,-0.0001348333333333,26.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.3210798391728895,-0.013298837223988365,0.0017432449259120889,
2023-01-04,0.3436,0.3605,0.339,0.3472,372672796.0,XRP,129585304.7284,147677,-4.199999999999994e-07,29.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.0477299185098987,0.010422792676094833,0.0028639023782841447,
2023-01-05,0.3471,0.3487,0.3333,0.338,265529668.0,XRP,90735849.1365,106910,-3.859e-05,29.0,,266083690.039913,279391.0,17190903.00793761,,1d,-2.6497695852534475,-0.026855087303176234,0.0,
2023-01-06,0.338,0.3462,0.3311,0.3443,278304929.0,XRP,93853937.033,124811,5.867666666666667e-05,26.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.863905325443782,0.018467474861459245,0.0019611505416510934,
2023-01-07,0.3442,0.3457,0.3413,0.3442,103851424.0,XRP,35685499.4695,54864,7.763e-05,25.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.02904443799012224,-0.0002904865670390063,0.0019300211679740954,
2023-01-08,0.3442,0.3469,0.3354,0.3452,185516324.0,XRP,63235820.0018,87967,6.129333333333333e-05,25.0,,259304487.74590245,228488.0,16331614.696256422,,1d,0.29052876234747504,0.002901075431833863,0.002241314904744112,
2023-01-09,0.3452,0.3576,0.3437,0.349,527746615.0,XRP,185161444.2836,207757,4.631e-05,25.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.1008111239860785,0.01094796299315412,0.003424231104470164,
2023-01-10,0.3489,0.3541,0.3432,0.3507,338577860.0,XRP,118256165.1944,126247,0.0001,26.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.4871060171919961,0.004859234943705446,0.003953430456979203,
2023-01-11,0.3506,0.3785,0.3477,0.3728,626037461.0,XRP,228637315.3745,264481,0.0001,26.0,,249135684.30488667,287494.0,16247214.47177786,,1d,6.301682349586546,0.061110925665303746,0.010833022039596563,
2023-01-12,0.3728,0.382,0.3607,0.3748,505754231.0,XRP,188241999.7211,229155,0.0001,30.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.5364806866952732,0.005350467552830946,0.011455609513136596,
2023-01-13,0.3748,0.3868,0.368,0.3858,405120914.0,XRP,152479844.0566,180943,0.0001,31.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,2.934898612593373,0.028926550107361483,0.014879840617606761,
2023-01-14,0.3857,0.4089,0.3766,0.3953,582781070.0,XRP,230545836.1881,298604,0.0001,46.0,,289810898.0689498,309880.0,22543151.069033355,,1d,2.4624157594608675,0.02432586983101119,0.017837131116921916,
2023-01-15,0.3953,0.3969,0.3795,0.3845,294014260.0,XRP,113574492.6617,149500,0.0001,52.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.732102200860098,-0.02770118135694108,0.01447515875980575,
2023-01-16,0.3846,0.4064,0.3777,0.3855,542041099.0,XRP,211557382.1895,244213,0.0001,45.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.2600780234070177,0.002597404057685471,0.014786452496575767,
2023-01-17,0.3855,0.3987,0.379,0.3868,378212343.0,XRP,146669509.5433,175149,0.0001,51.0,,291506527.527517,308715.0,20950317.645466994,,1d,0.3372243839169897,0.0033665705757550683,0.015191134354376776,
2023-01-18,0.3868,0.3964,0.3655,0.3782,615064764.0,XRP,236217050.68,297896,0.0001,52.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.2233712512926607,-0.02248460735478217,0.012514008218154639,
2023-01-19,0.3782,0.3965,0.3762,0.3928,416112670.0,XRP,161047075.7657,194843,0.0001,45.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,3.8603913273400403,0.03787742025595379,0.017058896774996876,
2023-01-20,0.3929,0.4141,0.3859,0.4129,366316527.0,XRP,145683006.8193,191888,5.776666666666667e-05,51.0,,246659369.44636056,295822.0,18240061.154305376,,1d,5.117107942973531,0.049904856411733804,0.023315900884074203,
2023-01-21,0.4129,0.4166,0.3967,0.4034,346602583.0,XRP,141823531.5831,198254,7.898333333333333e-05,53.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-2.3007992249939435,-0.023276807371933134,0.020358610384759047,
2023-01-22,0.4034,0.4122,0.3962,0.4004,250067543.0,XRP,101062837.4732,140303,0.0001,53.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.7436787307882997,-0.0074645780790458804,0.019424729174449,
2023-01-23,0.4004,0.433,0.3995,0.4234,723894773.0,XRP,304618525.3061,337146,0.0001,50.0,,295243790.7009466,293709.0,22867527.707946565,,1d,5.744255744255744,0.05585331125969926,0.026584485120159377,
2023-01-24,0.4233,0.4312,0.4025,0.4078,411297898.0,XRP,172683239.9344,223346,0.0001,52.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,-3.684459140292873,-0.037540500560410035,0.021728302826547124,
2023-01-25,0.4079,0.4245,0.3965,0.417,375065459.0,XRP,153118088.976,188870,0.0001,51.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,2.2560078469838096,0.022309363658446588,0.02459220520483127,
2023-01-26,0.417,0.4178,0.4053,0.4092,290069659.0,XRP,119450988.2924,151650,0.0001,54.0,,289637895.9408021,296263.0,22624571.70565509,,1d,-1.8705035971222972,-0.01888218772132998,0.02216411405802515,
2023-01-27,0.4091,0.4135,0.3988,0.4128,274281738.0,XRP,111625093.023,133853,0.0001,55.0,,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.8797653958944274,0.008759180089881554,0.023284771510397206,
