Date,Open,High,Low,Close,Volume,symbol,Quote_Volume,Number_Of_Trades,funding_Rate,fear_greed_index,hash_rate,tx_count,miners_revenue,google_trend_score,time_frame,pct_change,log_return,close_norm,sentiment_mix
2023-01-01,246.3,246.7,243.4,244.4,109450.117,BNB,26767261.7192,79606,-3.5e-06,26.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,,,0.0356527261181166,
2023-01-02,244.5,247.9,240.7,245.2,173452.9,BNB,42566621.7265,118257,-2.5086666666666665e-05,27.0,274241331.1734265,229347.0,16447340.744624749,,1d,0.3273322422258529,0.003267976764616,0.0363784813571622,
2023-01-03,245.3,247.0,244.4,246.1,115059.991,BNB,28259473.5323,98320,-5.1613333333333336e-05,26.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.3670473083197345,0.0036637533349538,0.0371949560010886,
2023-01-04,246.2,261.0,245.6,258.9,370055.082,BNB,94459376.8191,193907,0.0,29.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,5.201137748882556,0.0507039293604816,0.0488070398258187,
2023-01-05,258.9,259.2,255.2,256.7,145297.963,BNB,37361134.4044,110069,-0.0003960533333333,29.0,266083690.039913,279391.0,17190903.00793761,,1d,-0.8497489378138212,-0.0085337988803971,0.0468112129184432,
2023-01-06,256.7,260.7,254.2,259.9,199497.076,BNB,51368774.9927,133584,-0.0002383633333333,26.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.246591351772497,0.0123888537703498,0.0497142338746257,
2023-01-07,259.9,263.9,259.4,261.3,115152.77,BNB,30088933.4458,101015,-0.00022145,25.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,0.5386687187380002,0.0053722308791224,0.0509843055429556,
2023-01-08,261.3,276.5,260.1,274.9,237308.89,BNB,63256842.6863,159558,-0.00017759,25.0,259304487.74590245,228488.0,16331614.696256422,,1d,5.204745503252961,0.0507382226446331,0.0633221446067313,
2023-01-09,274.9,283.5,271.3,272.6,437828.428,BNB,121659068.738,296847,-1.8366666666666665e-05,25.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.8366678792287918,-0.0084018759087676,0.0612355982944752,
2023-01-10,272.6,278.8,270.2,277.1,259938.562,BNB,71544603.7047,193227,-6.48e-06,26.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.650770359501097,0.0163729326065004,0.0653179715141068,
2023-01-11,277.2,287.7,274.1,284.8,266107.304,BNB,74166049.4177,185244,-0.0001759166666666,26.0,249135684.30488667,287494.0,16247214.47177786,,1d,2.778780223745936,0.0274087276688879,0.072303365689921,
2023-01-12,284.9,288.6,278.5,287.7,391553.641,BNB,111464592.0418,279121,-2.576666666666667e-06,30.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,1.0182584269662789,0.0101310910196813,0.0749342284314614,
2023-01-13,287.8,296.0,284.9,293.7,313541.811,BNB,90714499.3465,254385,-0.0001788233333333,31.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,2.085505735140769,0.0206405676470721,0.0803773927243037,
2023-01-14,293.7,314.4,293.1,305.1,706402.087,BNB,215777694.13,544551,0.0001572466666666,46.0,289810898.0689498,309880.0,22543151.069033355,,1d,3.8815117466803,0.0380807535180497,0.090719404880704,
2023-01-15,305.2,306.1,291.8,302.2,288696.868,BNB,86365136.017,269807,3.083e-05,52.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,-0.9505080301540624,-0.0095505418839849,0.0880885421391635,
2023-01-16,302.2,308.1,293.1,299.0,350990.993,BNB,105546343.5522,282785,0.0,45.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,-1.0589013898080757,-0.0106454764479527,0.085185521182981,
2023-01-17,299.0,305.8,294.9,299.4,279993.876,BNB,84301030.8981,242595,0.0,51.0,291506527.527517,308715.0,20950317.645466994,,1d,0.1337792642140289,0.0013368985948413,0.0855483988025038,
2023-01-18,299.4,305.3,281.1,286.7,621064.665,BNB,182302178.0608,424163,0.0,52.0,614740022.5769935,460819.197640118,38994371.12419692,,1d,-4.241816967267864,-0.0433440990962037,0.0740270343826544,
